scenario,eirp_dbm,interferer_count,mean_signal_dbm,mean_interference_dbm,noise_dbm,mean_sinr_db,mean_linear_sinr_db,median_sinr_db,p05_sinr_db,p95_sinr_db,outage_lt_0_db,outage_lt_3_db
baseline,50.0,0,-107.13822235273798,-300.0,-100.01029995663981,-7.127922396098165,-6.660913639720361,-7.122087140080957,-10.433902137492998,-3.800235172258774,0.9998,1.0
baseline,50.0,1,-107.13822235273798,-110.51824984407405,-100.01029995663981,-7.473155787106148,-6.987529361935446,-7.455046492051583,-10.90021586750715,-4.082243065757278,0.9998,1.0
baseline,50.0,2,-107.13822235273798,-107.49935839520232,-100.01029995663981,-7.797852163944293,-7.298226846538336,-7.780992344118851,-11.26528130689632,-4.373343040072075,0.9999,1.0
baseline,50.0,3,-107.13822235273798,-105.8724602882979,-100.01029995663981,-8.075449709732725,-7.563787655439055,-8.060421369595565,-11.644646859901417,-4.637167429631217,0.9999,1.0
baseline,50.0,4,-107.13822235273798,-104.56495195137057,-100.01029995663981,-8.368146141413856,-7.8513735158043785,-8.365997452935778,-11.890264349546733,-4.863565794556842,0.9999,1.0
baseline,50.0,5,-107.13822235273798,-103.54411166948955,-100.01029995663981,-8.645459796338132,-8.109025331184291,-8.60009761764875,-12.217321863627651,-5.150764378592249,0.9999,1.0
baseline,50.0,6,-107.13822235273798,-102.78717038351925,-100.01029995663981,-8.888776187351983,-8.352409941098939,-8.864698062618135,-12.45479517837837,-5.368700191007069,1.0,1.0
baseline,50.0,7,-107.13822235273798,-102.09048379204404,-100.01029995663981,-9.131378253045265,-8.593889870145688,-9.11403777192325,-12.716043822642856,-5.53379119647596,1.0,1.0
baseline,50.0,8,-107.13822235273798,-101.59309308658031,-100.01029995663981,-9.334983136228471,-8.799102144346266,-9.320516716341318,-12.866067150475233,-5.827083807617126,1.0,1.0
baseline,50.0,9,-107.13822235273798,-101.06712172689828,-100.01029995663981,-9.553119717218738,-9.012482577795268,-9.533074726501258,-13.163560075620724,-5.977340927997811,1.0,1.0
baseline,50.0,10,-107.13822235273798,-100.60273644646605,-100.01029995663981,-9.761357700582762,-9.215947904300382,-9.711128807934827,-13.382817737308564,-6.205384372669246,1.0,1.0
baseline,50.0,11,-107.13822235273798,-100.17088992428589,-100.01029995663981,-9.963800284662444,-9.42040797794835,-9.923403661709056,-13.568573157419616,-6.433461269533938,1.0,1.0
baseline,50.0,12,-107.13822235273798,-99.8113822416143,-100.01029995663981,-10.146964218912046,-9.598051724408768,-10.121408266010448,-13.847008397843902,-6.580566852731329,1.0,1.0
