scenario,eirp_dbm,interferer_count,mean_signal_dbm,mean_interference_dbm,noise_dbm,mean_sinr_db,mean_linear_sinr_db,median_sinr_db,p05_sinr_db,p95_sinr_db,outage_lt_0_db,outage_lt_3_db
activity_reduction,50.0,0,-107.13822235273798,-300.0,-100.01029995663981,-7.127922396098165,-6.660913639720361,-7.122087140080957,-10.433902137492998,-3.800235172258774,0.9998,1.0
activity_reduction,50.0,1,-107.13822235273798,-113.55109201861637,-100.01029995663981,-7.299297973570076,-6.81944225931726,-7.288731539157495,-10.717739135735771,-3.9305993787336138,0.9998,1.0
activity_reduction,50.0,2,-107.13822235273798,-110.51609091714036,-100.01029995663981,-7.4685420650945336,-6.980807304182002,-7.458225236953096,-10.877991952045473,-4.078931587491008,0.9999,1.0
activity_reduction,50.0,3,-107.13822235273798,-108.85902219331757,-100.01029995663981,-7.619713388682453,-7.118569550397602,-7.612827809495192,-11.102153700292698,-4.206214052610791,0.9998,1.0
activity_reduction,50.0,4,-107.13822235273798,-107.51748021921559,-100.01029995663981,-7.7846385302408905,-7.273510333753076,-7.769810866125756,-11.29157193046965,-4.303102851005411,0.9999,1.0
activity_reduction,50.0,5,-107.13822235273798,-106.50035346130217,-100.01029995663981,-7.942284129973031,-7.418210599376548,-7.9226001707193205,-11.495252356804823,-4.461758505653346,0.9998,1.0
activity_reduction,50.0,6,-107.13822235273798,-105.84118199562901,-100.01029995663981,-8.067698110010525,-7.5434284286773,-8.064425455003379,-11.63088945459133,-4.589558509916494,0.9999,1.0
activity_reduction,50.0,7,-107.13822235273798,-105.07182064481775,-100.01029995663981,-8.224920892607145,-7.69567249921492,-8.212888980437478,-11.732098772675364,-4.686699885262446,1.0,1.0
activity_reduction,50.0,8,-107.13822235273798,-104.59147381775658,-100.01029995663981,-8.346463697427264,-7.815283556131629,-8.332677821828202,-11.907296681651065,-4.809755625638905,0.9999,1.0
activity_reduction,50.0,9,-107.13822235273798,-104.1009170063394,-100.01029995663981,-8.471637650269402,-7.933869810774463,-8.449609938198545,-12.079231218416256,-4.897846530742549,0.9999,1.0
activity_reduction,50.0,10,-107.13822235273798,-103.65506804241224,-100.01029995663981,-8.596868956794081,-8.055301751090312,-8.581486971662681,-12.219382334137109,-5.0692852732122455,0.9999,1.0
activity_reduction,50.0,11,-107.13822235273798,-103.17872594341948,-100.01029995663981,-8.74216100063457,-8.19567271958685,-8.716065470148308,-12.351177368313017,-5.163805840993124,0.9999,1.0
activity_reduction,50.0,12,-107.13822235273798,-102.80735710788873,-100.01029995663981,-8.861014899900175,-8.306745165249485,-8.832014492029828,-12.57404495946751,-5.287045045611117,0.9999,1.0
activity_reduction,50.0,13,-107.13822235273798,-102.5054659821744,-100.01029995663981,-8.96643579375743,-8.411688229838504,-8.927190162782699,-12.581376578107617,-5.343462700450474,0.9999,1.0
activity_reduction,50.0,14,-107.13822235273798,-102.10900563052374,-100.01029995663981,-9.112339786519634,-8.564186706525787,-9.098918604775651,-12.783981486096016,-5.489573819714789,1.0,1.0
activity_reduction,50.0,15,-107.13822235273798,-101.81936540815352,-100.01029995663981,-9.222600153901443,-8.665206211254988,-9.203217270759133,-12.90050172229796,-5.675536191227313,1.0,1.0
activity_reduction,50.0,16,-107.13822235273798,-101.54688228067363,-100.01029995663981,-9.327091777534113,-8.763164415463816,-9.326163568859855,-13.045219310768845,-5.6958965547268985,0.9999,1.0
activity_reduction,50.0,17,-107.13822235273798,-101.27339705929799,-100.01029995663981,-9.444536966344685,-8.881142343983349,-9.428355387913266,-13.13111950597023,-5.868230742604822,1.0,1.0
activity_reduction,50.0,18,-107.13822235273798,-101.0632969848186,-100.01029995663981,-9.532329099673884,-8.964474085171645,-9.51913499585847,-13.237688109356485,-5.895444639035589,1.0,1.0
activity_reduction,50.0,19,-107.13822235273798,-100.81000943376417,-100.01029995663981,-9.643773427531501,-9.077228552385378,-9.612945303504127,-13.396218941625744,-6.0400794100952755,0.9999,1.0
activity_reduction,50.0,20,-107.13822235273798,-100.58849218701475,-100.01029995663981,-9.744953897049394,-9.166880378549322,-9.754021304799627,-13.446873751457142,-6.075886957412943,0.9999,1.0
activity_reduction,50.0,21,-107.13822235273798,-100.38218185447461,-100.01029995663981,-9.842992102696382,-9.278324925607782,-9.830597450229977,-13.498040390096136,-6.190553060522549,1.0,1.0
activity_reduction,50.0,22,-107.13822235273798,-100.14789165492246,-100.01029995663981,-9.954060419809819,-9.381656374984786,-9.937957799521348,-13.638939326791215,-6.25649765284799,1.0,1.0
activity_reduction,50.0,23,-107.13822235273798,-99.9739310791748,-100.01029995663981,-10.042753625498197,-9.479009630202933,-10.003664239169403,-13.664313351861312,-6.443081331910941,1.0,1.0
activity_reduction,50.0,24,-107.13822235273798,-99.76536804514521,-100.01029995663981,-10.148164032743209,-9.579302231629093,-10.155505156814534,-13.817334077513053,-6.489122687882539,1.0,1.0
activity_reduction,50.0,25,-107.13822235273798,-99.62494433120035,-100.01029995663981,-10.223123891232639,-9.6529463626926,-10.210643861847338,-13.927678156808641,-6.577894528740347,1.0,1.0
activity_reduction,50.0,26,-107.13822235273798,-99.4511962636937,-100.01029995663981,-10.311281249813334,-9.739352348452929,-10.302469010400465,-14.061565566193869,-6.647862983960082,1.0,1.0
activity_reduction,50.0,27,-107.13822235273798,-99.27215347913088,-100.01029995663981,-10.40761219689137,-9.834310212346965,-10.379291608743372,-14.034762542917424,-6.733823128578732,1.0,1.0
activity_reduction,50.0,28,-107.13822235273798,-99.1255236819451,-100.01029995663981,-10.489397971638951,-9.912884465791281,-10.476442162766737,-14.188143350087529,-6.8194194115894184,1.0,1.0
activity_reduction,50.0,29,-107.13822235273798,-99.00435584867469,-100.01029995663981,-10.557867853841557,-9.983988901995748,-10.581014603789885,-14.265713459566761,-6.923491511195301,1.0,1.0
activity_reduction,50.0,30,-107.13822235273798,-98.81332557499867,-100.01029995663981,-10.665946702151547,-10.099476711023197,-10.652712389595976,-14.394440899450322,-7.010226309585899,1.0,1.0
activity_reduction,50.0,31,-107.13822235273798,-98.66228843526963,-100.01029995663981,-10.750192367203208,-10.183421151728556,-10.728905047337816,-14.42360324801357,-7.113819688381195,1.0,1.0
activity_reduction,50.0,32,-107.13822235273798,-98.5341357416357,-100.01029995663981,-10.826346868984919,-10.254591219971058,-10.796017038625212,-14.552352061049001,-7.18985545882982,1.0,1.0
activity_reduction,50.0,33,-107.13822235273798,-98.40325463470131,-100.01029995663981,-10.899221506454747,-10.326187732896585,-10.886905302389234,-14.623425033925697,-7.2577382469046805,1.0,1.0
activity_reduction,50.0,34,-107.13822235273798,-98.29380379411336,-100.01029995663981,-10.96494524169823,-10.38565969300908,-10.955641066842404,-14.61912019066342,-7.2254696449225415,1.0,1.0
